Text,depressive,sentiment,emo1,emo2,emo3
subject internet suicide note whats sad is that it did not have to end like this.,1,1,12,,
Why does it seem to just keep getting worse - the feelings - that is?,1,1,12,,
i hope the man who has been the cause of it will think of this sad catastrophe.,0,1,12,,
I Am sorry for The hurt.,1,1,12,,
dear children:,0,0,3,,
"In addition, in my own case, there is the matter of persecution for my religious views.",0,2,13,,
"But just not to lose this opportunity, I took loan from bank.",0,2,13,,
"i left feeling like not much had been accomplished, except letting me know that i did not want to attempt it again.",1,2,13,,
I've hurt so many great people because of who I am and my inability to experience what needs to be experienced.,1,1,10,,
you were the Best thing that happened too me.,0,0,5,,
as to why i am there.,0,2,13,,
You can do it.,0,2,14,,
"Upon this fact was based my motion for a retrial, which Recorder Smyth denied, and later my plan for Executive interference.",0,2,13,,
"let us, for a moment be sensible.",0,2,13,,
In spite of knowing this I decided to help him to b as a wife with him .,0,0,2,13,
Two people responsible for my death is NAME and NAME.,0,1,8,,
One reason I put this off for so long is because I know how much pain it will cause her.,0,1,12,,
I want my friends to remember all the good times we had together.,0,0,2,3,
do not you ever think it was your fault.,1,2,14,,
it is fate.,0,2,13,,
"All leaves which we take are paid and on the top of that if my HOD puts fine, a single day leave costs me Rs 4500 - 6000 /- which is unbearable after being in such a big loan.",0,1,7,13,
i will probably be considered insane as anyone taking his life is supposed to be slightly insane.,1,0,2,,
You were my best companion ever os should I say the only companion (using the word in it's true sense),0,0,5,,
i am eager and keen to have a good time.,0,0,2,,
i have thought of this so many times.,0,2,13,,
in doing so i am very much afraid that i have brought a great deal of unhappiness to those who have loved me.,1,1,10,,
"although the reaction from my friends was positive, my parents were pissed.",0,0,2,13,
I do love my family.,0,0,3,,
"I couldn't have asked for better parents, and I know this isn't fair.",0,0,3,,
i hope i made a place in all your hearts and touched each and every one of you in a special way.,0,0,2,,
if we go to a university in japan it must be tokyo or kyoto.,0,1,12,11,
"i want to hold her hand again, i miss her, i will always love us, i am sorry cynthia marie, i called my mom today, sonnie, kathy, ruthie (i lost her #), i am so tired, at least i shaved today, wow - i am tripping out, i am sorry,",0,2,13,,
"A couspiracy of various nature to remove my father & me from the scene was hatched by him in connivance with NAME & NAME who further brought certain members of chief NAME like NAME, NAME, NAME Aubhi into the picture to add to the strength of group.",0,1,8,,
our love is constructed.,0,1,12,,
Goodbye.,0,1,12,,
there is no way out.,1,1,12,13,
But She is loyal.,0,2,13,,
Eventually I did get out.,0,2,13,,
This should be do-able.,0,2,13,,
"The fact that the darkness affected sexual matters most intensely made this idea make some sense and I convinced myself of this for a number of years, starting in college after my first relationship ended.",1,1,12,,
"since then my condition was getting progressively worse, i could neither work or think logically.",1,2,13,12,
may 30 all these lamentations are far from stoical.,0,2,13,,
wanting to die since you ask most days i cannot remember.,1,2,13,,
"i woke up in the morning feeling really rotten - weepy, groggy.",1,2,13,,
At this point I simply don't care who knows.,0,1,7,,
"Protected and unpunished Bad cops forces milanated people to label the good cops as potential threats (AKA BQO cops) for the safety and well of our women, family, & children.",0,1,7,13,
I would like to thank everyone for the love and care you have all shown me.,0,0,5,,
we are each other -- i/you -- you/me -- there is no need to fear but what you do unto another will come back around!,1,2,14,13,
they put me in a foster home.,0,2,13,,
Momma I appreciate everything you did for me.,0,0,5,,
Laredo had a good day at school and loves his glasses.,0,2,13,3,
I THINK IT IS IMPORTANT THAT I LEAVE YOU WITH MY TRUE FEELINGS ABOUT YOU.,0,2,13,,
"i begin to hear voices, and i cannot concentrate.",0,2,13,,
"so frail and so fleeting,",0,2,13,,
if it is possible to love in the hereafter i will love you even after death.,1,0,3,11,
"Instead of being an escape, relationships and romantic contact with other people only intensified everything about him that I couldn't stand.",0,2,13,,
"I wanted to be treated as your 'Queen' - and it wasn't happening, I would be your Queen - if I felt I had a King!",0,1,12,13,
I believe that Mr. NAME takes pleasure in lugging in on all occasions a word picture (especially to a large audience) of the shocking possibilities of the corruption of the morals of innocent youth.,0,1,8,,
"He said, ""Gentlemen of the NAME, the question for you to pass upon is, Did the defendant mail the book?",0,2,13,,
The worst crime I can think of would be to Rip people off by faking it and pretending as if i'm having 100% fun.,0,2,13,10,
"""excuse the blood, but i have slit my wrists and neck.",0,1,12,,
That and Some country sounds that talk about love or missing you.,0,2,13,,
"The world I am now in is one of diseased nerves, lucid as ice.",1,1,12,,
i am leaving you with your worries in this sweet cesspool.,1,1,7,,
let's have no sadness -- furrowed brow.,1,2,14,,
he never asked them back.,0,2,13,,
Tyra was hard.,1,1,12,,
"And now, in my own case the other day, the legal precedent has been established by the action of NAME, in the United States Circuit Court, of not only excluding witnesses in behalf of the indicted book, but even forbidding either the defendant or her counsel to attempt to explain the reasons for printing the indicted paragraphs or in any way seeking to justify, in an argument, the publication of the book and then finally, by a legal subterfuge, abolishing the defendant's right of trail by jury; the latter being a proceeding which has always been recognized by true patriots as a serious menace to the liberties of the people.",0,2,13,,
i have no guilty conscience whatsoever.,1,2,13,,
look after jano and eddie for me - they are my boys (you are rich).,0,2,14,11,
However I feel like i have been a prisoner of depression for so long that some will be set free.,1,1,12,,
"I had put an explicit time limit on our relationship, since I knew it couldn't last because of the darkness and didn't want to hold her back, and this caused a variety of problems.",1,2,13,,
the only friends i thought i had only liked me because they saw me five times a week.,0,2,13,13,
You are the toughest little kid I know.,0,2,13,,
I've spent my life hurting people.,1,1,10,,
no one will call me a fag or a queer or a pussy or a fag boy or anything.,0,0,2,,
Where is the wisdom and honor of the people we delegate our trust to?,0,2,13,,
no more i will have to eat the leftover articles that was cooked the day before.,0,1,12,13,
I am wanting this thing without any pressure or anybody's because I am not the (sic).,0,2,13,,
pray i will find happiness.,0,2,14,11,
"after me being honest , after trying to fix things, thank you for turning a conversation about depression and suicide into something and about you.",1,2,14,,
But now I've lost everything.,0,2,13,,
a mother left these words to her surviving children.,0,2,13,,
"hence, i request that after my death, my mother, father and brother should not face any trouble because they will be, otherwise, in the state of shock.",0,2,13,14,
and [name removed] said that he was going to stick a broom stick up my ass because he said that that is what i like.,0,2,13,6,
it really is not worth living.,1,1,12,,
I think that if someone who knows me reads this they will know who I am.,0,2,13,,
peace and love o. j. please please please leave my children in peace.,0,0,2,1,
"By the way, the other week when I was at the Home office; the day when it was windy, I was taken to hospital because I gave them the letter in the envelope, dated DATE.",0,2,13,,
I hereby direct that my just debts and funeral expenses be paid.,0,2,14,,
started harassing me so I have no option other than susides.,1,1,8,13,
i keep trying and i keep failing.,1,2,13,,
More than a few spent a large part of the session reading their notes to remember who I was.,0,2,13,,
uncle b. got everything to live for.,0,2,13,,
this is no way to live.,1,1,12,,
I was fully aware of the causes / consequences of this step.,0,2,13,,
i can not do through this any more.,1,2,13,,
I still continue to get students I've never met contacting me Facebook calling me a slut.,1,1,12,,
